"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","02-Jun-2017","       1583.75","       1582.00","       1612.80","       1582.00","       1595.35","       1604.65","       1602.17","    3427957","          5492166765.50","      99348","    2572628","         75.05"
"HDFC","EQ","05-Jun-2017","       1604.65","       1606.40","       1612.00","       1591.15","       1605.00","       1606.15","       1603.91","    2988075","          4792593901.00","      81217","    2167100","         72.52"
"HDFC","EQ","06-Jun-2017","       1606.15","       1610.00","       1624.85","       1602.50","       1603.70","       1605.75","       1611.85","    2170920","          3499204655.90","      48603","    1537563","         70.83"
"HDFC","EQ","07-Jun-2017","       1605.75","       1609.70","       1611.50","       1590.60","       1600.00","       1599.35","       1598.75","    1726464","          2760190740.40","      69120","    1256284","         72.77"
"HDFC","EQ","08-Jun-2017","       1599.35","       1608.90","       1635.00","       1605.00","       1631.00","       1633.55","       1628.23","    2289492","          3727828269.55","     104016","    1459772","         63.76"
"HDFC","EQ","09-Jun-2017","       1633.55","       1628.00","       1649.00","       1620.10","       1646.10","       1647.20","       1636.33","    2633241","          4308859894.05","      73460","    1898414","         72.09"
"HDFC","EQ","12-Jun-2017","       1647.20","       1644.00","       1651.80","       1633.85","       1647.00","       1647.50","       1643.89","    2000556","          3288694813.40","      71819","    1467513","         73.36"
"HDFC","EQ","13-Jun-2017","       1647.50","       1642.05","       1682.20","       1642.05","       1665.00","       1667.65","       1667.32","    2737084","          4563600559.90","     143134","    1840910","         67.26"
"HDFC","EQ","14-Jun-2017","       1667.65","       1661.55","       1668.00","       1644.00","       1647.10","       1651.10","       1651.72","    6519614","         10768594968.85","     139220","    6014688","         92.26"
"HDFC","EQ","15-Jun-2017","       1651.10","       1648.70","       1653.70","       1629.55","       1635.00","       1636.85","       1642.13","    5678766","          9325295805.85","      73070","    5097448","         89.76"
"HDFC","EQ","16-Jun-2017","       1636.85","       1634.30","       1651.00","       1629.15","       1635.20","       1640.85","       1641.87","    2692532","          4420794503.95","      73989","    1737533","         64.53"
"HDFC","EQ","19-Jun-2017","       1640.85","       1659.00","       1660.00","       1645.20","       1659.60","       1654.20","       1652.88","    2907637","          4805976865.85","      62546","    2321542","         79.84"
